Team,Year,Perc_foreign
Arsenal FC,1992,25.81
Arsenal FC,1993,26.92
Arsenal FC,1994,28.12
Arsenal FC,1995,26.67
Arsenal FC,1996,31.25
Arsenal FC,1997,43.33
Arsenal FC,1998,52.78
Arsenal FC,1999,54.55
Arsenal FC,2000,66.67
Arsenal FC,2001,55.56
Arsenal FC,2002,67.74
Arsenal FC,2003,71.88
Arsenal FC,2004,87.5
Arsenal FC,2005,84.85
Arsenal FC,2006,85.71
Arsenal FC,2007,87.5
Arsenal FC,2008,78.95
Arsenal FC,2009,68.89
Arsenal FC,2010,79.41
Arsenal FC,2011,75.0
Arsenal FC,2012,80.56
Arsenal FC,2013,81.08
Arsenal FC,2014,75.86
Aston Villa,1992,33.33
Aston Villa,1993,37.04
Aston Villa,1994,
Aston Villa,1995,32.0
Aston Villa,1996,42.31
Aston Villa,1997,35.71
Aston Villa,1998,29.41
Aston Villa,1999,34.38
Aston Villa,2000,42.86
Aston Villa,2001,56.0
Aston Villa,2002,62.07
Aston Villa,2003,62.96
Aston Villa,2004,61.54
Aston Villa,2005,55.17
Aston Villa,2006,58.06
Aston Villa,2007,41.67
Aston Villa,2008,38.1
Aston Villa,2009,41.94
Aston Villa,2010,51.28
Aston Villa,2011,61.76
Aston Villa,2012,61.29
Aston Villa,2013,58.82
Aston Villa,2014,60.0
Barnsley FC,1992,
Barnsley FC,1993,
Barnsley FC,1994,
Barnsley FC,1995,
Barnsley FC,1996,
Barnsley FC,1997,44.44
Barnsley FC,1998,
Barnsley FC,1999,
Barnsley FC,2000,
Barnsley FC,2001,
Barnsley FC,2002,
Barnsley FC,2003,
Barnsley FC,2004,
Barnsley FC,2005,
Barnsley FC,2006,
Barnsley FC,2007,
Barnsley FC,2008,
Barnsley FC,2009,
Barnsley FC,2010,
Barnsley FC,2011,
Barnsley FC,2012,
Barnsley FC,2013,
Barnsley FC,2014,
Birmingham City,1992,
Birmingham City,1993,
Birmingham City,1994,
Birmingham City,1995,
Birmingham City,1996,
Birmingham City,1997,
Birmingham City,1998,
Birmingham City,1999,
Birmingham City,2000,
Birmingham City,2001,
Birmingham City,2002,60.0
Birmingham City,2003,59.26
Birmingham City,2004,56.76
Birmingham City,2005,51.52
Birmingham City,2006,
Birmingham City,2007,61.54
Birmingham City,2008,
Birmingham City,2009,50.0
Birmingham City,2010,52.94
Birmingham City,2011,
Birmingham City,2012,
Birmingham City,2013,
Birmingham City,2014,
Blackburn Rovers,1992,28.0
Blackburn Rovers,1993,30.43
Blackburn Rovers,1994,30.77
Blackburn Rovers,1995,32.26
Blackburn Rovers,1996,46.43
Blackburn Rovers,1997,61.29
Blackburn Rovers,1998,59.46
Blackburn Rovers,1999,
Blackburn Rovers,2000,
Blackburn Rovers,2001,64.52
Blackburn Rovers,2002,59.38
Blackburn Rovers,2003,67.65
Blackburn Rovers,2004,74.29
Blackburn Rovers,2005,77.78
Blackburn Rovers,2006,75.86
Blackburn Rovers,2007,81.08
Blackburn Rovers,2008,80.77
Blackburn Rovers,2009,82.86
Blackburn Rovers,2010,78.38
Blackburn Rovers,2011,66.67
Blackburn Rovers,2012,
Blackburn Rovers,2013,
Blackburn Rovers,2014,
Blackpool FC,1992,
Blackpool FC,1993,
Blackpool FC,1994,
Blackpool FC,1995,
Blackpool FC,1996,
Blackpool FC,1997,
