Name,Team,Goals,Year
Teddy Sheringham,Tottenham Hotspur,22,1992
Les Ferdinand,Queens Park Rangers,20,1992
Dean Holdsworth,Wimbledon,19,1992
Micky Quinn,Coventry City,17,1992
Alan Shearer,Blackburn Rovers,16,1992
Andy Cole,Newcastle United,34,1993
Alan Shearer,Blackburn Rovers,31,1993
Matt Le Tissier,Southampton,25,1993
Chris Sutton, Norwich City,25, 1993
Ian Wright,Arsenal,23,1993
Alan Shearer,Blackburn Rovers,34,1994
Robbie Fowler,Liverpool,25,1994
Les Ferdinand,Queens Park Rangers,24,1994
Stan Collymore,Nottingham Forest,22,1994
Andy Cole,Newcastle United, 21,1994
Alan Shearer,Blackburn Rovers,31,1995
Robbie Fowler,Liverpool,28,1995
Les Ferdinand,Newcastle United,25,1995
Dwight Yorke,Aston Villa,17,1995
Andrei Kanchelskis,Everton,16,1995
Alan Shearer,Newcastle United,25,1996
Ian Wright,Arsenal,23,1996
Robbie Fowler,Liverpool,18,1996
Ole Gunnar Solskjaer, Manchester United,18, 1996
Dwight Yorke,Aston Villa,17,1996
Dion Dublin,Coventry City,18,1997
Michael Owen, Liverpool,18, 1997
Chris Sutton, Blackburn Rovers,18, 1997
Dennis Bergkamp,Arsenal,16,1997
Kevin Gallacher, Blackburn Rovers, 16, 1997
Jimmy Floyd Hasselbaink,Leeds United,18,1998
Michael Owen, Liverpool,18, 1998
Dwight Yorke, Manchester United,18, 1998
Nicolas Anelka,Arsenal,17,1998
Kevin Phillips,Sunderland,30,1999
Alan Shearer,Newcastle United,23,1999
Dwight Yorke,Manchester United,22,1999
Michael Bridges,Leeds United,19,1999
Andy Cole, Manchester United,19, 1999
Jimmy Floyd Hasselbaink,Chelsea,23,2000
Marcus Stewart,Ipswich Town,19,2000
Thierry Henry,Arsenal,17,2000
Mark Viduka, Leeds United,17, 2000
Michael Owen,Liverpool,16,2000
Thierry Henry,Arsenal,24,2001
Jimmy Floyd Hasselbaink,Chelsea,23,2001
Ruud van Nistelrooy, Manchester United,23, 2001
Alan Shearer, Newcastle United,23, 2001
Michael Owen,Liverpool,19,2001
Ruud van Nistelrooy,Manchester United,25,2002
Thierry Henry,Arsenal,24,2002
James Beattie,Southampton,23,2002
Mark Viduka,Leeds United,20,2002
Michael Owen,Liverpool,19,2002
Thierry Henry,Arsenal,30,2003
Alan Shearer,Newcastle United,22,2003
Louis Saha,Manchester United / Fulham,20,2003
Ruud van Nistelrooy, Manchester United,20, 2003
Mikael Forssell,Birmingham City,17,2003
Thierry Henry,Arsenal,25,2004
Andy Johnson,Crystal Palace,21,2004
Robert Pirès,Arsenal,14,2004
Jermain Defoe,Tottenham Hotspur,13,2004
Jimmy Floyd Hasselbaink, Middlesbrough,13, 2004
Thierry Henry,Arsenal,27,2005
Ruud van Nistelrooy,Manchester United,21,2005
Darren Bent,Charlton Athletic,18,2005
Robbie Keane,Tottenham Hotspur,16,2005
Frank Lampard, Chelsea,16, 2005
Didier Drogba,Chelsea,20,2006
Benni McCarthy,Blackburn Rovers,18,2006
Cristiano Ronaldo,Manchester United,17,2006
Wayne Rooney,Manchester United,14,2006
Mark Viduka, Middlesbrough,14, 2006
Cristiano Ronaldo,Manchester United,31,2007
Fernando Torres,Liverpool,24,2007
Emmanuel Adebayor, Arsenal,24, 2007
Roque Santa Cruz,Blackburn Rovers,19,2007
Benjani,Portsmouth / Manchester City,15,2007
Nicolas Anelka,Chelsea,19,2008
Cristiano Ronaldo,Manchester United,18,2008
Steven Gerrard,Liverpool,16,2008
Robinho,Manchester City,14,2008
Fernando Torres, Liverpool,14, 2008
Didier Drogba, Chelsea,29, 2009
Wayne Rooney, Manchester United,26, 2009
Darren Bent, Sunderland,24, 2009
Carlos Tevez, Manchester City,23, 2009
Frank Lampard, Chelsea,22, 2009
Dimitar Berbatov,Manchester United,20,2010
Carlos Tevez, Manchester City,20, 2010
Robin van Persie,Arsenal,18,2010
Darren Bent,Sunderland / Aston Villa,17,2010
Peter Odemwingie,West Bromwich Albion,15,2010
Robin Van Persie,Arsenal,30,2011
Wayne Rooney,Manchester United,27,2011
Sergio Aguero,Manchester City,23,2011
Clint Dempsey,Fulham,17,2011
Emmanuel Adebayor, Tottenham,17, 2011
Robin van Persie,Manchester United,26,2012
Luis Suarez,Liverpool,23,2012
Gareth Bale,Tottenham Hotspur,21,2012
Christian Benteke,Aston Villa,19,2012
Michu,Swansea City,18,2012
Luis Suarez,Liverpool,31,2013
Daniel Sturridge,Liverpool,21,2013
Yaya Toure,Manchester City,20,2013
Wayne Rooney,Manchester United,17,2013
Wilfried Bony, Swansea City,17, 2013
Sergio Aguero,Manchester City,26,2014
Harry Kane,Tottenham Hotspur,21,2014
Diego Costa,Chelsea,20,2014
Charlie Austin,Queens Park Rangers,18,2014
Alexis Sanchez,Arsenal,16,2014
