Teams,Season,Points
Manchester United,1992,84
Aston Villa,1992,74
Norwich City,1992,72
Blackburn Rovers,1992,71
Queens Park Rangers,1992,63
Liverpool,1992,59
Sheffield Wednesday,1992,59
Tottenham Hotspur,1992,59
Manchester City,1992,57
Arsenal,1992,56
Chelsea,1992,56
Wimbledon,1992,54
Everton,1992,53
Sheffield United,1992,52
Coventry City,1992,52
Ipswich Town,1992,52
Leeds United,1992,51
Southampton,1992,50
Oldham Athletic,1992,49
Crystal Palace,1992,49
Middlesbrough,1992,44
Nottingham Forest,1992,40
Teams,Season,Points
Manchester United,1993,92
Blackburn Rovers,1993,84
Newcastle United,1993,77
Arsenal,1993,71
Leeds United,1993,70
Wimbledon,1993,65
Sheffield Wednesday,1993,64
Liverpool,1993,60
Queens Park Rangers,1993,60
Aston Villa,1993,57
Coventry City,1993,56
Norwich City,1993,53
West Ham United,1993,52
Chelsea,1993,51
Tottenham Hotspur,1993,45
Manchester City,1993,45
Everton,1993,44
Southampton,1993,43
Ipswich Town,1993,43
Sheffield United,1993,42
Oldham Athletic,1993,40
Swindon Town,1993,30
Teams,Season,Points
Blackburn Rovers,1994,89
Manchester United,1994,88
Nottingham Forest,1994,77
Liverpool,1994,74
Leeds United,1994,73
Newcastle United,1994,72
Tottenham Hotspur,1994,62
Queens Park Rangers,1994,60
Wimbledon,1994,56
Southampton,1994,54
Chelsea,1994,54
Arsenal,1994,51
Sheffield Wednesday,1994,51
West Ham United,1994,50
Everton,1994,50
Coventry City,1994,50
Manchester City,1994,49
Aston Villa,1994,48
Crystal Palace,1994,45
Norwich City,1994,43
Leicester City,1994,29
Ipswich Town,1994,27
Teams,Season,Points
Manchester United,1995,82
Newcastle United,1995,78
Liverpool,1995,71
Aston Villa,1995,63
Arsenal,1995,63
Everton,1995,61
Blackburn Rovers,1995,61
Tottenham Hotspur,1995,61
Nottingham Forest,1995,58
West Ham United,1995,51
Chelsea,1995,50
Middlesbrough,1995,43
Leeds United,1995,43
Wimbledon,1995,41
Sheffield Wednesday,1995,40
Coventry City,1995,38
Southampton,1995,38
Manchester City,1995,38
Queens Park Rangers,1995,33
Bolton Wanderers,1995,29
Teams,Season,Points
Manchester United,1996,75
Newcastle United,1996,68
Arsenal,1996,68
Liverpool,1996,68
Aston Villa,1996,61
Chelsea,1996,59
Sheffield Wednesday,1996,57
Wimbledon,1996,56
Leicester City,1996,47
Tottenham Hotspur,1996,46
Leeds United,1996,46
Derby County,1996,46
Blackburn Rovers,1996,42
West Ham United,1996,42
Everton,1996,42
Southampton,1996,41
Coventry City,1996,41
Sunderland,1996,40
Middlesbrough,1996,39
Nottingham Forest,1996,34
Teams,Season,Points
Arsenal,1997,78
Manchester United,1997,77
Liverpool,1997,65
Chelsea,1997,63
Leeds United,1997,59
Blackburn Rovers,1997,58
Aston Villa,1997,57
West Ham United,1997,56
Derby County,1997,55
Leicester City,1997,53
Coventry City,1997,52
Southampton,1997,48
Newcastle United,1997,44
Tottenham Hotspur,1997,44
Wimbledon,1997,44
Sheffield Wednesday,1997,44
Everton,1997,40
Bolton Wanderers,1997,40
Barnsley,1997,35
Crystal Palace,1997,33
Teams,Season,Points
Manchester United,1998,79
Arsenal,1998,78
Chelsea,1998,75
Leeds United,1998,67
West Ham United,1998,57
Aston Villa,1998,55
Liverpool,1998,54
Derby County,1998,52
Middlesbrough,1998,51
Leicester City,1998,49
Tottenham Hotspur,1998,47
Sheffield Wednesday,1998,46
Newcastle United,1998,46
Everton,1998,43
Coventry City,1998,42
Wimbledon,1998,42
Southampton,1998,41
Charlton Athletic,1998,36
Blackburn Rovers,1998,35
Nottingham Forest,1998,30
Teams,Season,Points
Manchester United,1999,91
Arsenal,1999,73
Leeds United,1999,69
Liverpool,1999,67
Chelsea,1999,65
Aston Villa,1999,58
Sunderland,1999,58
Leicester City,1999,55
West Ham United,1999,55
Tottenham Hotspur,1999,53
Newcastle United,1999,52
Middlesbrough,1999,52
Everton,1999,50
Coventry City,1999,44
Southampton,1999,44
Derby County,1999,38
Bradford City,1999,36
Wimbledon,1999,33
Sheffield Wednesday,1999,31
Watford,1999,24
Teams,Season,Points
Manchester United,2000,80
Arsenal,2000,70
Liverpool,2000,69
Leeds United,2000,68
Ipswich Town,2000,66
Chelsea,2000,61
Sunderland,2000,57
Aston Villa,2000,54
Charlton Athletic,2000,52
Southampton,2000,52
Newcastle United,2000,51
Tottenham Hotspur,2000,49
Leicester City,2000,48
Middlesbrough,2000,42
West Ham United,2000,42
Everton,2000,42
Derby County,2000,42
Manchester City,2000,34
Coventry City,2000,34
Bradford City,2000,26
Teams,Season,Points
Arsenal,2001,87
Liverpool,2001,80
Manchester United,2001,77
Newcastle United,2001,71
Leeds United,2001,66
Chelsea,2001,64
West Ham United,2001,53
Aston Villa,2001,50
Tottenham Hotspur,2001,50
Blackburn Rovers,2001,46
Southampton,2001,45
Middlesbrough,2001,45
Fulham,2001,44
Charlton Athletic,2001,44
Everton,2001,43
Bolton Wanderers,2001,40
Sunderland,2001,40
Ipswich Town,2001,36
Derby County,2001,30
Leicester City,2001,28
Teams,Season,Points
Manchester United,2002,83
Arsenal,2002,78
Newcastle United,2002,69
Chelsea,2002,67
Liverpool,2002,64
Blackburn Rovers,2002,60
Everton,2002,59
Southampton,2002,52
Manchester City,2002,51
Tottenham Hotspur,2002,50
Middlesbrough,2002,49
Charlton Athletic,2002,49
Birmingham City,2002,48
Fulham,2002,48
Leeds United,2002,47
Aston Villa,2002,45
Bolton Wanderers,2002,44
West Ham United,2002,42
West Bromwich Albion,2002,26
Sunderland,2002,19
Teams,Season,Points
Arsenal,2003,90
Chelsea,2003,79
Manchester United,2003,75
Liverpool,2003,60
Newcastle United,2003,56
Aston Villa,2003,56
Charlton Athletic,2003,53
Bolton Wanderers,2003,53
Fulham,2003,52
Birmingham City,2003,50
Middlesbrough,2003,48
Southampton,2003,47
Portsmouth,2003,45
Tottenham Hotspur,2003,45
Blackburn Rovers,2003,44
Manchester City,2003,41
Everton,2003,39
Leicester City,2003,33
Leeds United,2003,33
Wolverhampton Wndrs,2003,33
Teams,Season,Points
Chelsea,2004,95
Arsenal,2004,83
Manchester United,2004,77
Everton,2004,61
Liverpool,2004,58
Bolton Wanderers,2004,58
Middlesbrough,2004,55
Manchester City,2004,52
Tottenham Hotspur,2004,52
Aston Villa,2004,47
Charlton Athletic,2004,46
Birmingham City,2004,45
Fulham,2004,44
Newcastle United,2004,44
Blackburn Rovers,2004,42
Portsmouth,2004,39
West Bromwich Albion,2004,34
Crystal Palace,2004,33
Norwich City,2004,33
Southampton,2004,32
Teams,Season,Points
Chelsea,2005,91
Manchester United,2005,83
Liverpool,2005,82
Arsenal,2005,67
Tottenham Hotspur,2005,65
Blackburn Rovers,2005,63
Newcastle United,2005,58
Bolton Wanderers,2005,56
West Ham United,2005,55
Wigan Athletic,2005,51
Everton,2005,50
Fulham,2005,48
Charlton Athletic,2005,47
Middlesbrough,2005,45
Manchester City,2005,43
Aston Villa,2005,42
Portsmouth,2005,38
Birmingham City,2005,34
West Bromwich Albion,2005,30
Sunderland,2005,15
Teams,Season,Points
Manchester United,2006,89
Chelsea,2006,83
Liverpool,2006,68
Arsenal,2006,68
Tottenham Hotspur,2006,60
Everton,2006,58
Bolton Wanderers,2006,56
Reading,2006,55
Portsmouth,2006,54
Blackburn Rovers,2006,52
Aston Villa,2006,50
Middlesbrough,2006,46
Newcastle United,2006,43
Manchester City,2006,42
West Ham United,2006,41
Fulham,2006,39
Wigan Athletic,2006,38
Sheffield United,2006,38
Charlton Athletic,2006,34
Watford,2006,28
Teams,Season,Points
Manchester United,2007,87
